214	B	8875	12692
215	P	8917	69363
216	B	8958	13023
217	B	9000	21198
218	B	9042	13651
219	P	9083	72602
220	B	9125	15491
221	B	9167	27194
222	B	9208	16261
223	P	9250	74267
224	B	9292	10391
225	B	9333	34549
226	B	9375	12697
227	P	9417	90173
228	B	9458	17166
229	B	9500	29621
230	B	9542	11914
231	P	9583	80903
232	B	9625	6111
233	B	9667	27664
234	B	9708	17472
235	P	9750	83778
236	B	9792	18543
237	B	9833	31292
238	B	9875	18764
239	P	9917	80026
240	B	9958	15263
241	B	10000	37383
242	P	10042	46307
243	I	10083	140144
244	B	10125	22518
245	B	10167	41647
246	B	10208	20402
247	P	10250	70614
248	B	10292	24672
249	B	10333	43952
250	B	10375	18297
251	P	10417	50219
252	I	10458	75915
253	P	10500	33409
254	B	10542	25862
255	P	10583	40397
256	P	10625	35678
257	P	10667	67357
258	P	10708	37159
259	P	10750	41291
260	P	10792	46056
261	P	10833	46290
262	B	10875	18180
263	P	10917	43125
264	P	10958	48074
265	P	11000	50687
266	B	11042	31511
267	B	11083	24481
268	P	11125	55389
269	P	11167	41461
270	P	11208	41638
271	P	11250	43861
272	P	11292	59341
273	B	11333	25018
274	P	11375	45999
275	I	11417	91259
276	B	11458	16062
277	P	11500	32058
278	P	11542	33457
279	B	11583	16817
280	P	11625	45350
281	P	11667	40445
282	P	11708	37338
283	P	11750	44350
284	P	11792	39125
285	P	11833	35087
286	I	11875	61238
287	P	11917	49126
288	P	11958	42999
289	P	12000	40119
290	P	12042	30711
291	P	12083	42656
292	P	12125	49039
293	P	12167	32826
294	P	12208	41467
295	P	12250	42348
296	P	12292	45842
297	P	12333	43838
298	P	12375	28263
299	P	12417	38097
300	P	12458	32389
301	P	12500	58741
302	P	12542	41002
303	P	12583	27080
304	P	12625	38251
305	P	12667	50964
306	P	12708	40906
307	I	12750	57080
308	P	12792	30366
309	P	12833	33859
310	P	12875	43410
311	P	12917	49277
312	P	12958	35417
313	B	13000	16152
314	P	13042	33467
315	P	13083	63642
316	P	13125	50230
317	P	13167	46367
318	P	13208	35800
319	P	13250	47072
320	P	13292	50701
321	P	13333	41583
322	P	13375	38398
323	P	13417	34167
324	P	13458	33979
325	P	13500	47476
326	P	13542	34610
327	P	13583	45777
328	P	13625	34204
329	P	13667	38038
330	P	13708	33957
331	P	13750	48533
332	P	13792	44697
333	P	13833	43390
334	P	13875	34081
335	P	13917	44818
336	I	13958	81949
337	B	14000	6844
338	P	14042	41961
339	B	14083	10950
340	P	14125	49301
341	B	14167	34118
342	P	14208	76942
343	B	14250	30682
344	P	14292	68737
345	B	14333	22870
346	P	14375	67592
347	B	14417	12209
